Tweets with hashtags: 5355
First: 2009-12-16 14:12
Last: 2014-10-15 13:10

Unique user: 145
User id, tweet count
-------------------------------------

23603219, 1096
4802661, 584
897848574, 500
344250379, 404
480588828, 267
334865231, 205
1335908677, 186
1106616253, 151
1694642108, 143
478616778, 142
6107462, 109
63753701, 93
11795602, 92
886662481, 90
238223976, 76
38914131, 69
30704489, 68
477884015, 67
1267285104, 51
111862705, 46
179620512, 42
333911608, 37
161631420, 36
596608838, 36
882728455, 34
16188613, 31
14262534, 29
208052386, 27
1926263084, 26
2349185180, 26
39558817, 25
45300709, 24
339277569, 23
508648322, 22
928031485, 20
116797499, 19
1630836277, 19
1271996796, 16
187131650, 16
42038687, 16
233200324, 15
895744446, 15
798036192, 15
718127060, 14
185643983, 12
437381348, 12
928098182, 12
610049484, 11
759219182, 11
910768639, 9
143440344, 9
313445180, 9
141631391, 8
52688658, 8
591771393, 8
541911186, 8
284572637, 7
377376151, 7
279675102, 7
294836884, 7
19486200, 7
787633082, 7
372314082, 6
1335138078, 6
86031933, 5
168118644, 5
514326946, 5
231252696, 5
267657472, 5
171020830, 4
501996490, 4
359502184, 4
438403025, 4
1482156913, 4
290977596, 4
90917897, 3
71309932, 3
75870398, 3
631304476, 3
2445508389, 3
280119910, 3
159510985, 3
400635601, 3
113450488, 3
2163605572, 3
162481009, 3
1479701, 3
96377541, 2
2626761574, 2
567155037, 2
159603970, 2
144147303, 2
709341943, 2
716376570, 2
114774730, 2
806688126, 2
227117064, 2
391500297, 2
946365698, 2
85616569, 2
1316785596, 2
37681469, 2
1889635189, 2
21753908, 2
2387641734, 2
2393783620, 2
561165571, 1
109292097, 1
102672842, 1
234343287, 1
100608863, 1
100587435, 1
98614380, 1
97974643, 1
585096918, 1
96089262, 1
163937781, 1
454276758, 1
1045773583, 1
1063306447, 1
156930527, 1
67633111, 1
66675223, 1
629593772, 1
64171733, 1
62037060, 1
53702131, 1
1531430940, 1
1600996968, 1
1607301534, 1
43652703, 1
1653354164, 1
512270702, 1
1712004811, 1
209340372, 1
193439671, 1
2159231588, 1
21332994, 1
14972113, 1
117072875, 1
737486748, 1
2406835164, 1
5005451, 1
2539944462, 1
87466932, 1

Unique hastags: 3401
Hastag, count
-------------------------------------
1
1
12
1
1
1
1
1
1
1
2
1
5
1
1
1
1
7
1
1
30
1
1
1
1
1
2
1
1
2
1
1
1
1
1
1
1
1
1
1
54
1
3
2
1
1
1
2
1
1
1
1
1
1
1
4
4
1
25
1
2
2
2
1
1
2
1
1
1
1
1
1
4
1
3
2
1
2
1
2
4
1
1
1
1
1
2
1
1
1
1
1
1
1
1
1
1
1
1
1
1
2
1
1
1
12
1
1
1
1
2
1
1
1
1
27
2
1
1
1
1
1
1
1
1
1
1
6
1
1
1
9
7
1
1
1
1
1
3
2
1
2
1
3
1
1
1
1
1
1
1
2
1
1
1
1
4
1
1
1
1
1
1
1
2
1
1
1
2
28
1
1
1
2
1
1
1
1
1
5
1
1
1
1
1
1
1
2
1
1
1
1
1
1
1
1
1
1
4
1
1
1
1
1
1
1
5
4
1
1
1
4
1
1
2
2
1
5
1
2
16
2
1
2
1
1
1
1
1
1
1
1
1
1
1
1
